text,lang,orig_index
<s>[INST] How does the State plan to promote the understanding of life according to Islamic teachings? [/INST] The State plans to provide facilities to enable Muslims to understand the meaning of life according to the Holy Quran and Sunnah. </s>,eng,60
<s>[INST] ریاست اسلامی تعلیمات کے مطابق زندگی کے مفہوم کو فروغ دینے کا کیا منصوبہ رکھتی ہے؟ [/INST] ریاست مسلمانوں کو قرآن پاک اور سنت کے مطابق زندگی کا مفہوم سمجھنے کے قابل بنانے کے لیے سہولتیں فراہم کرنے کا منصوبہ رکھتی ہے۔ </s>,urdu,60
"<s>[INST] How are the rights, liabilities, and obligations of the Federal Government and Provincial Governments affected by the commencing day? [/INST] The rights, liabilities, and obligations of the Federal Government and Provincial Governments will continue to be their respective responsibilities, except for those that change responsibility under the Constitution, which will devolve upon the appropriate government. </s>",eng,606
<s>[INST] یوم آغاز سے وفاقی حکومت اور صوبائی حکومتوں کے حقوق، ذمہ داریاں اور وجوب کیسے متاثر ہوتے ہیں؟ [/INST] وفاقی حکومت اور صوبائی حکومتوں کے حقوق، ذمہ داریاں اور وجوب بالترتیب ان کی ذمہ داری رہیں گے، سوائے ان کے جو دستور کے تحت ذمہ داری تبدیل ہو جائیں، جو متعلقہ حکومت کو منتقل ہو جائیں گے۔ </s>,urdu,606
"<s>[INST] What responsibilities are to be devolved to the elected representatives of local governments? [/INST] Political, administrative, and financial responsibilities and authority are to be devolved to the elected representatives of local governments. </s>",eng,271
<s>[INST] مقامی حکومتوں کے منتخب نمائندوں کو کون سی ذمہ داریاں منتقل کی جائیں گی؟ [/INST] سیاسی، انتظامی اور مالیاتی ذمہ داریاں اور اختیار مقامی حکومتوں کے منتخب نمائندوں کو منتقل کی جائیں گی۔ </s>,urdu,271
"<s>[INST] Can Pakistani citizens live and travel anywhere within the country? [/INST] Yes, Pakistani citizens have the right to live and travel anywhere within the country, subject to any reasonable restrictions imposed by law in the public interest. </s>",eng,28
<s>[INST] کیا پاکستانی شہری ملک کے کسی بھی حصے میں رہ سکتے ہیں اور سفر کر سکتے ہیں؟ [/INST] جی ہاں، پاکستانی شہریوں کو ملک کے کسی بھی حصے میں رہنے اور سفر کرنے کا حق حاصل ہے، بشرطیکہ مفاد عامہ کے پیش نظر قانون کے ذریعہ عائد کردہ کسی معقول پابندی کے تابع ہوں۔ </s>,urdu,28
<s>[INST] Where is the principal seat of the High Court for Islamabad Capital Territory? [/INST] The principal seat of the High Court for Islamabad Capital Territory is at Islamabad. </s>,eng,393
<s>[INST] اسلام آباد کیپیٹل ٹیریٹری کے لئے ہائی کورٹ کا صدر مقام کہاں ہے؟ [/INST] اسلام آباد کیپیٹل ٹیریٹری کے لئے ہائی کورٹ کا صدر مقام اسلام آباد میں ہے۔ </s>,urdu,393
"<s>[INST] What happens if the Speaker of the National Assembly is unable to perform his duties? [/INST] If the Speaker is unable to perform his duties, the Deputy Speaker shall act as Speaker. If the Deputy Speaker is also unable to act as Speaker, a member determined by the rules of procedure of the Assembly shall preside at the meeting. </s>",eng,97
<s>[INST] اگر قومی اسمبلی کا اسپیکر اپنے فرائض انجام دینے سے قاصر ہو تو کیا ہوتا ہے؟ [/INST] اگر اسپیکر اپنے فرائض انجام دینے سے قاصر ہو تو ڈپٹی اسپیکر بطور اسپیکر کام کرے گا۔ اگر ڈپٹی اسپیکر بھی بطور اسپیکر کام کرنے سے قاصر ہو تو ایسا رکن جس کا اسمبلی کے قواعد طریق کار کے رو سے تعین کیا جائے، اسمبلی کے اجلاس کی صدارت کرے گا۔ </s>,urdu,97
"<s>[INST] Can the Provincial Assembly discuss or vote on the authenticated schedule of authorized expenditure? [/INST] No, the authenticated schedule of authorized expenditure shall be laid before the Provincial Assembly but shall not be open to discussion or vote. </s>",eng,241
<s>[INST] کیا صوبائی اسمبلی منظور شدہ خرچ کی توثیق شدہ جدول پر بحث یا رائے شماری کر سکتی ہے؟ [/INST] نہیں، منظور شدہ خرچ کی توثیق شدہ جدول کو صوبائی اسمبلی میں پیش کیا جائے گا لیکن اس پر بحث یا رائے شماری کی اجازت نہ ہوگی۔ </s>,urdu,241
<s>[INST] What does the State aim to do with other Muslim countries? [/INST] The State aims to preserve and strengthen fraternal relations among Muslim countries based on Islamic unity. </s>,eng,72
<s>[INST] مملکت دیگر مسلم ممالک کے ساتھ کیا کرنے کا ارادہ رکھتی ہے؟ [/INST] مملکت اسلامی اتحاد کی بنیاد پر مسلم ممالک کے مابین برادرانہ تعلقات کو برقرار رکھنے اور مستحکم کرنے کا ارادہ رکھتی ہے۔ </s>,urdu,72
<s>[INST] Who can impose conditions on loans made to a province? [/INST] The Federal Government can impose conditions on loans made to a province. </s>,eng,328
<s>[INST] صوبے کو دیے گئے قرضوں پر شرائط کون عائد کر سکتا ہے؟ [/INST] وفاقی حکومت صوبے کو دیے گئے قرضوں پر شرائط عائد کر سکتی ہے۔ </s>,urdu,328
<s>[INST] In what language should a person ideally take an oath under the Constitution? [/INST] An oath should preferably be made in Urdu or a language that is understood by the person. </s>,eng,549
<s>[INST] دستور کے تحت کسی شخص کو حلف کس زبان میں لینا چاہیے؟ [/INST] حلف ترجیحاً اردو میں یا اس زبان میں لیا جانا چاہیے جو وہ شخص سمجھتا ہو۔ </s>,urdu,549
"<s>[INST] Can members of Parliament discuss the actions of Supreme Court or High Court judges while they are performing their duties? [/INST] No, members of Parliament cannot discuss the conduct of any Judge of the Supreme Court or of a High Court in the discharge of their duties. </s>",eng,135
<s>[INST] کیا پارلیمنٹ کے اراکین عدالت عظمیٰ یا عدالت عالیہ کے ججوں کے اپنے فرائض کی انجام دہی کے دوران کیے گئے اقدامات پر بحث کر سکتے ہیں؟ [/INST] نہیں، پارلیمنٹ کے اراکین عدالت عظمیٰ یا عدالت عالیہ کے کسی جج کے اپنے فرائض کی انجام دہی میں رویے پر بحث نہیں کر سکتے۔ </s>,urdu,135
<s>[INST] Who is responsible for appointing the Chief Justice of Pakistan? [/INST] The President shall appoint the most senior Judge of the Supreme Court as the Chief Justice of Pakistan. </s>,eng,347
<s>[INST] پاکستان کے چیف جسٹس کا تقرر کون کرتا ہے؟ [/INST] صدر عدالت عظمیٰ کے مقدم ترین جج کا تقرر پاکستان کے چیف جسٹس کے طور پر کرے گا۔ </s>,urdu,347
"<s>[INST] Can the Federal Government impose conditions on the content broadcasted by a Provincial Government? [/INST] No, the Federal Government cannot impose any conditions regulating the matter broadcast or telecast by, or by authority of, the Provincial Government. </s>",eng,307
<s>[INST] کیا وفاقی حکومت صوبائی حکومت کی نشر کردہ مواد پر شرائط عائد کر سکتی ہے؟ [/INST] نہیں، وفاقی حکومت صوبائی حکومت کی طرف سے یا اس کے حکم سے نشر کردہ مواد کو منضبط کرنے والی کوئی شرائط عائد نہیں کر سکتی۔ </s>,urdu,307
"<s>[INST] Is it possible to make rules or issue orders related to the Constitution before its commencement? [/INST] Yes, the power to make rules or issue orders with respect to the enforcement of any provision of the Constitution, or the establishment of any court or office, or the appointment of any Judge or officer, may be exercised at any time between the enactment of the Constitution and its commencement. </s>",eng,569
<s>[INST] کیا دستور کے آغاز سے پہلے اس سے متعلق قواعد بنانے یا احکام صادر کرنے ممکن ہیں؟ [/INST] جی ہاں، دستور کے کسی حکم کے نفاذ، یا کسی عدالت یا دفتر کے قیام، یا کسی جج یا افسر کے تقرر کے متعلق قواعد بنانے یا احکام صادر کرنے کا اختیار دستور کے وضع ہونے اور اس کے آغاز نفاذ کے درمیان کسی بھی وقت استعمال کیا جاسکتا ہے۔ </s>,urdu,569
<s>[INST] Who is the head of the National Economic Council? [/INST] The Prime Minister is the Chairman of the National Economic Council. </s>,eng,302
<s>[INST] قومی اقتصادی کونسل کا سربراہ کون ہے؟ [/INST] وزیر اعظم قومی اقتصادی کونسل کا چیئرمین ہے۔ </s>,urdu,302
"<s>[INST] Who receives remuneration that is charged upon the Federal Consolidated Fund? [/INST] The remuneration charged upon the Federal Consolidated Fund is payable to the President, Judges of the Supreme Court and the Islamabad High Court, the Chief Election Commissioner, the Chairman and Deputy Chairman, the Speaker and Deputy Speaker of the National Assembly, and the Auditor-General. </s>",eng,161
<s>[INST] وفاقی مجموعی فنڈ پر واجب الادا مشاہرہ کس کو ملتا ہے؟ [/INST] وفاقی مجموعی فنڈ پر واجب الادا مشاہرہ صدر، عدالت عظمیٰ اور عدالت عالیہ اسلام آباد کے جج صاحبان، چیف الیکشن کمشنر، چیئرمین اور ڈپٹی چیئرمین، قومی اسمبلی کے اسپیکر اور ڈپٹی اسپیکر، اور محاسب اعلیٰ کو ملتا ہے۔ </s>,urdu,161
"<s>[INST] Are there any exceptions to the rule that no court or tribunal can exercise power over matters within the jurisdiction of the Court? [/INST] Yes, the exception is provided in Article 203F. </s>",eng,426
<s>[INST] کیا کوئی استثنیٰ ہے کہ کوئی عدالت یا ٹربیونل عدالت کے دائرہ اختیار میں معاملات پر اختیار استعمال نہیں کر سکتا؟ [/INST] جی ہاں، استثنیٰ دفعہ ۳۰۲۔ ﻑ میں فراہم کیا گیا ہے۔ </s>,urdu,426
"<s>[INST] Who regulates the management of the Federal Consolidated Fund and the Public Account of the Federation? [/INST] The management of the Federal Consolidated Fund and the Public Account of the Federation is regulated by an Act of Majlis-e-Shoora (Parliament) or, until such provision is made, by rules made by the President. </s>",eng,157
<s>[INST] وفاقی مجموعی فنڈ اور وفاق کے سرکاری حساب کے انتظام کو کون منضبط کرتا ہے؟ [/INST] وفاقی مجموعی فنڈ اور وفاق کے سرکاری حساب کے انتظام کو مجلس شوریٰ (پارلیمنٹ) کے ایکٹ کے ذریعے یا، اس بارے میں اس طرح احکام وضع ہونے تک، صدر کے وضع کردہ قواعد کے بموجب منضبط کیا جاتا ہے۔ </s>,urdu,157
<s>[INST] When must a general election be held if the National Assembly completes its term? [/INST] A general election to the National Assembly must be held within a period of sixty days immediately following the day on which the term of the Assembly is due to expire. </s>,eng,482
<s>[INST] اگر قومی اسمبلی اپنی مدت پوری کر لے تو عام انتخابات کب کرائے جائیں گے؟ [/INST] قومی اسمبلی کے عام انتخابات اس دن سے فوراً بعد ساٹھ دن کے اندر کرائے جائیں گے جس دن اسمبلی کی میعاد ختم ہونے والی ہو۔ </s>,urdu,482
"<s>[INST] Who will be given special representation in local Government institutions? [/INST] Special representation will be given to peasants, workers, and women. </s>",eng,61
<s>[INST] بلدیاتی اداروں میں کسے خصوصی نمائندگی دی جائے گی؟ [/INST] کسانوں، مزدوروں اور عورتوں کو خصوصی نمائندگی دی جائے گی۔ </s>,urdu,61
"<s>[INST] What must the Auditor-General do before starting their duties? [/INST] Before starting their duties, the Auditor-General must take an oath before the Chief Justice of Pakistan. </s>",eng,331
<s>[INST] محاسب اعلیٰ کو اپنی ذمہ داریاں شروع کرنے سے پہلے کیا کرنا ہوگا؟ [/INST] اپنی ذمہ داریاں شروع کرنے سے پہلے، محاسب اعلیٰ کو پاکستان کے چیف جسٹس کے سامنے حلف اٹھانا ہوگا۔ </s>,urdu,331
"<s>[INST] What happens if less than one-fourth of the total membership is present during a National Assembly meeting? [/INST] If less than one-fourth of the total membership is present, the person presiding must either adjourn the Assembly or suspend the meeting until at least one-fourth of the members are present. </s>",eng,104
<s>[INST] اگر قومی اسمبلی کے اجلاس کے دوران کل رکنیت کے ایک چوتھائی سے کم ارکان حاضر ہوں تو کیا ہوتا ہے؟ [/INST] اگر کل رکنیت کے ایک چوتھائی سے کم ارکان حاضر ہوں تو صدارت کرنے والا شخص یا تو اسمبلی کو ملتوی کر دے گا یا اجلاس کو اس وقت تک کے لیے معطل کر دے گا جب تک کہ کم سے کم ایک چوتھائی ارکان حاضر نہ ہو جائیں۔ </s>,urdu,104
"<s>[INST] What is required for a person to sit or vote in the National Assembly? [/INST] A person must make the oath prescribed by Article 65 to sit or vote in the National Assembly, and if they fail to do so within twenty-one days from the first meeting of the Assembly without the Speaker's leave, their seat will become vacant. </s>",eng,598
<s>[INST] قومی اسمبلی میں بیٹھنے یا ووٹ دینے کے لیے کسی شخص کے لیے کیا ضروری ہے؟ [/INST] قومی اسمبلی میں بیٹھنے یا ووٹ دینے کے لیے کسی شخص کو آرٹیکل ۶۵ کے تحت مقررہ حلف اٹھانا ضروری ہے، اور اگر وہ اسمبلی کے پہلے اجلاس کے دن سے اکیس دن کے اندر حلف اٹھانے میں ناکام رہے اور اسپیکر کی اجازت نہ ہو، تو اس کی نشست خالی ہوجائے گی۔ </s>,urdu,598
"<s>[INST] What occurs if a bill is not passed within ninety days in the House it was transmitted to? [/INST] If a bill is not passed within ninety days in the House it was transmitted to, it shall be considered in a joint sitting at the request of the House in which it originated, and if passed by the majority of members present and voting, it shall be presented to the President for assent. </s>",eng,140
<s>[INST] اگر کسی ایوان میں ارسال کردہ بل نوے دن کے اندر منظور نہ ہو تو کیا ہوتا ہے؟ [/INST] اگر کسی ایوان میں ارسال کردہ بل نوے دن کے اندر منظور نہ ہو تو، اس ایوان کی درخواست پر جس میں اس کی ابتدا ہوئی تھی، اسے مشترکہ اجلاس میں زیر غور لایا جائے گا اور اگر موجودہ ارکان کی اکثریت رائے سے اور مشترکہ اجلاس میں رائے دہی سے منظور ہو جائے تو اسے منظوری کے لیے صدر کو پیش کر دیا جائے گا۔ </s>,urdu,140
<s>[INST] What is the State's responsibility regarding exploitation? [/INST] The State shall ensure the elimination of all forms of exploitation. </s>,eng,4
<s>[INST] ریاست کی استحصال کے بارے میں کیا ذمہ داری ہے؟ [/INST] ریاست استحصال کی تمام اقسام کے خاتمے کو یقینی بنائے گی۔ </s>,urdu,4
<s>[INST] Who is the chief executive of the Federation in Pakistan? [/INST] The Prime Minister is the chief executive of the Federation. </s>,eng,180
<s>[INST] پاکستان میں وفاق کا چیف ایگزیکٹو کون ہے؟ [/INST] وزیراعظم وفاق کا چیف ایگزیکٹو ہے۔ </s>,urdu,180
"<s>[INST] Can people in Pakistan follow and share their religious beliefs? [/INST] Yes, every citizen has the right to profess, practice, and propagate their religion, subject to law, public order, and morality. </s>",eng,37
<s>[INST] کیا پاکستان میں لوگ اپنے مذہبی عقائد کی پیروی اور ان کی تبلیغ کر سکتے ہیں؟ [/INST] جی ہاں، ہر شہری کو قانون، امن عامہ اور اخلاق کے تابع اپنے مذہب کی پیروی کرنے، اس پر عمل کرنے اور اس کی تبلیغ کرنے کا حق حاصل ہے۔ </s>,urdu,37
<s>[INST] How will the relationship between Pakistan and Jammu and Kashmir be determined if the people of Jammu and Kashmir choose to join Pakistan? [/INST] The relationship will be determined in accordance with the wishes of the people of Jammu and Kashmir. </s>,eng,552
<s>[INST] اگر ریاست جموں و کشمیر کے عوام پاکستان میں شامل ہونے کا انتخاب کریں تو پاکستان اور جموں و کشمیر کے درمیان تعلقات کیسے متعین ہوں گے؟ [/INST] تعلقات ریاست جموں و کشمیر کے عوام کی خواہشات کے مطابق متعین ہوں گے۔ </s>,urdu,552
"<s>[INST] How does the State aim to improve the standard of living for its people? [/INST] The State aims to improve the standard of living for its people by preventing the concentration of wealth and means of production and distribution in the hands of a few, ensuring equitable adjustment of rights between employers and employees, and landlords and tenants. </s>",eng,68
<s>[INST] ریاست اپنے عوام کے معیار زندگی کو بہتر بنانے کا ارادہ کیسے رکھتی ہے؟ [/INST] ریاست اپنے عوام کے معیار زندگی کو بہتر بنانے کا ارادہ دولت اور وسائل پیداوار و تقسیم کو چند اشخاص کے ہاتھوں میں جمع ہونے سے روک کر، آجر و ماجور اور زمیندار و مزارع کے درمیان حقوق کی منصفانہ تقسیم کی ضمانت دے کر رکھتی ہے۔ </s>,urdu,68
"<s>[INST] What must a person do if they are elected to more than one seat? [/INST] If a person is elected to more than one seat, they must resign all but one of their seats within thirty days after the declaration of the result for the last seat. If they do not resign, all the seats will become vacant except the seat to which they were elected last. </s>",eng,480
<s>[INST] اگر کوئی شخص ایک سے زیادہ نشستوں پر منتخب ہو جائے تو اسے کیا کرنا چاہیے؟ [/INST] اگر کوئی شخص ایک سے زیادہ نشستوں پر منتخب ہو جائے تو اسے آخری نشست کے نتیجے کے اعلان کے بعد تیس دن کے اندر اپنی تمام نشستوں میں سے ایک کے علاوہ سب سے استعفیٰ دینا ہوگا۔ اگر وہ استعفیٰ نہ دے تو تمام نشستیں خالی ہو جائیں گی سوائے اس نشست کے جس پر وہ آخر میں منتخب ہوا ہو۔ </s>,urdu,480
"<s>[INST] What happens if the members of the Commission are not yet appointed according to the Eighteenth Amendment? [/INST] If the members of the Commission are not yet appointed according to the Eighteenth Amendment, the Commissioner will remain charged with the duties of preparing electoral rolls, organizing and conducting elections, and appointing Election Tribunals. </s>",eng,473
<s>[INST] اگر کمیشن کے اراکین کی تقرری اٹھارہویں ترمیم کے مطابق نہ ہو تو کیا ہوگا؟ [/INST] اگر کمیشن کے اراکین کی تقرری اٹھارہویں ترمیم کے مطابق نہ ہو، تو کمشنر بدستور انتخابی فہرستیں تیار کرنے، انتخابات کا انتظام کرنے اور انتخابی ٹربیونل مقرر کرنے کے فرائض انجام دیتا رہے گا۔ </s>,urdu,473
"<s>[INST] What authority does the Supreme Court have to ensure justice in cases before it? [/INST] The Supreme Court has the power to issue directions, orders, or decrees necessary for doing complete justice in any case or matter pending before it, including securing the attendance of any person or the discovery or production of any document. </s>",eng,374
<s>[INST] عدالت عظمیٰ کو مقدمات میں انصاف کو یقینی بنانے کے لیے کیا اختیار حاصل ہے؟ [/INST] عدالت عظمیٰ کو ایسے احکام، ہدایات یا ڈگریاں جاری کرنے کا اختیار ہے جو کسی مقدمہ یا معاملہ میں جو اس کے سامنے زیر سماعت ہو، مکمل انصاف کرنے کے لیے ضروری ہوں، ان میں کسی شخص کی حاضری کو یقینی بنانے، یا کسی دستاویز کو برآمد کرنے یا پیش کرنے کے احکام شامل ہیں۔ </s>,urdu,374
<s>[INST] Who is responsible for ensuring that children receive free and compulsory education? [/INST] The State is responsible for providing free and compulsory education to all children of the age of five to sixteen years. </s>,eng,48
<s>[INST] بچوں کو مفت اور لازمی تعلیم فراہم کرنے کی ذمہ داری کس پر ہے؟ [/INST] ریاست پانچ سے سولہ سال تک کی عمر کے تمام بچوں کو مفت اور لازمی تعلیم فراہم کرنے کی ذمہ دار ہے۔ </s>,urdu,48
"<s>[INST] Are lower courts in Pakistan required to follow the rulings of the Supreme Court? [/INST] Yes, lower courts in Pakistan are required to follow the rulings of the Supreme Court if the decision involves a question of law or a principle of law. </s>",eng,378
<s>[INST] کیا پاکستان کی نچلی عدالتیں سپریم کورٹ کے فیصلوں کی پابند ہیں؟ [/INST] جی ہاں، اگر سپریم کورٹ کا فیصلہ کسی امر قانونی یا اصول قانون سے متعلق ہو تو پاکستان کی نچلی عدالتیں اس کی پابند ہیں۔ </s>,urdu,378
"<s>[INST] What happens if a vote of no-confidence is passed by the majority of the Provincial Assembly? [/INST] If a vote of no-confidence is passed by the majority of the total membership of the Provincial Assembly, the Chief Minister shall cease to hold office. </s>",eng,262
<s>[INST] اگر صوبائی اسمبلی کی اکثریت سے عدم اعتماد کا ووٹ منظور ہو جائے تو کیا ہوتا ہے؟ [/INST] اگر صوبائی اسمبلی کی کل رکنیت کی اکثریت سے عدم اعتماد کا ووٹ منظور ہو جائے، تو وزیر اعلیٰ عہدے پر فائز نہیں رہے گا۔ </s>,urdu,262
<s>[INST] Who has the authority to dissolve the Provincial Assembly on the advice of the Chief Minister? [/INST] The Governor has the authority to dissolve the Provincial Assembly if advised by the Chief Minister. </s>,eng,219
<s>[INST] وزیر اعلیٰ کے مشورے پر صوبائی اسمبلی کو تحلیل کرنے کا اختیار کس کے پاس ہے؟ [/INST] گورنر کے پاس وزیر اعلیٰ کے مشورے پر صوبائی اسمبلی کو تحلیل کرنے کا اختیار ہے۔ </s>,urdu,219
"<s>[INST] Is it possible for a court to investigate the advice given to the Governor by the Chief Minister or the Cabinet? [/INST] No, it is not possible for any court, tribunal, or other authority to inquire into the advice given to the Governor by the Chief Minister or the Cabinet. </s>",eng,207
<s>[INST] کیا کسی عدالت کو وزیر اعلیٰ یا کابینہ کی طرف سے گورنر کو دیئے گئے مشورے کی تفتیش کرنے کی اجازت ہے؟ [/INST] نہیں، کسی عدالت، ٹربیونل یا دیگر ہیئت مجاز کو وزیر اعلیٰ یا کابینہ کی طرف سے گورنر کو دیئے گئے مشورے کی تفتیش کرنے کی اجازت نہیں ہے۔ </s>,urdu,207
<s>[INST] Who has the authority to create rules for court procedures? [/INST] A High Court has the authority to make rules regulating the practice and procedure of the Court or any court subordinate to it. </s>,eng,404
<s>[INST] عدالتی طریقہ کار کے قواعد بنانے کا اختیار کس کے پاس ہے؟ [/INST] عدالت عالیہ کو اپنے یا اپنی کسی ماتحت عدالت کے معمول اور طریق کار کو منضبط کرنے کے لیے قواعد وضع کرنے کا اختیار ہے۔ </s>,urdu,404
"<s>[INST] Is slavery allowed in Pakistan? [/INST] No, slavery is non-existent and forbidden in Pakistan, and no law shall permit or facilitate its introduction in any form. </s>",eng,21
<s>[INST] کیا پاکستان میں غلامی کی اجازت ہے؟ [/INST] نہیں، پاکستان میں غلامی معدوم اور ممنوع ہے اور کوئی قانون کسی بھی صورت میں اسے رواج دینے کی اجازت نہیں دے گا۔ </s>,urdu,21
<s>[INST] How long is the term for the Chairman or Deputy Chairman of the Senate? [/INST] The term of office for the Chairman or Deputy Chairman of the Senate is three years from the day they enter upon their office. </s>,eng,115
<s>[INST] سینیٹ کے چیئرمین یا ڈپٹی چیئرمین کی میعاد کتنی ہوتی ہے؟ [/INST] سینیٹ کے چیئرمین یا ڈپٹی چیئرمین کے عہدے کی میعاد اس دن سے تین سال ہوتی ہے جس دن وہ اپنا عہدہ سنبھالتے ہیں۔ </s>,urdu,115
<s>[INST] Who can the first President take the oath before if the Chief Justice of Pakistan is not available? [/INST] The first President can take the oath before the Speaker of the National Assembly if the Chief Justice of Pakistan is not available. </s>,eng,611
<s>[INST] اگر چیف جسٹس پاکستان دستیاب نہ ہوں تو پہلا صدر کس کے سامنے حلف اٹھا سکتا ہے؟ [/INST] اگر چیف جسٹس پاکستان دستیاب نہ ہوں تو پہلا صدر قومی اسمبلی کے اسپیکر کے سامنے حلف اٹھا سکتا ہے۔ </s>,urdu,611
"<s>[INST] Can the President resign from his position? [/INST] Yes, the President may resign his office by writing under his hand addressed to the Speaker of the National Assembly. </s>",eng,81
<s>[INST] کیا صدر اپنے عہدے سے مستعفی ہو سکتا ہے؟ [/INST] جی ہاں، صدر قومی اسمبلی کے اسپیکر کے نام اپنی دستخطی تحریر کے ذریعے اپنے عہدے سے مستعفی ہو سکتا ہے۔ </s>,urdu,81
<s>[INST] Who is responsible for holding elections for local governments in Pakistan? [/INST] The Election Commission of Pakistan is responsible for holding elections for local governments. </s>,eng,270
<s>[INST] پاکستان میں مقامی حکومتوں کے انتخابات کا انعقاد کون کرتا ہے؟ [/INST] مقامی حکومتوں کے انتخابات کا انعقاد الیکشن کمیشن آف پاکستان کرتا ہے۔ </s>,urdu,270
<s>[INST] Who appoints the Provincial Ministers in Pakistan? [/INST] The Governor appoints Provincial Ministers on the advice of the Chief Minister. </s>,eng,258
<s>[INST] پاکستان میں صوبائی وزراء کا تقرر کون کرتا ہے؟ [/INST] گورنر وزیر اعلیٰ کے مشورے پر صوبائی وزراء کا تقرر کرتا ہے۔ </s>,urdu,258
"<s>[INST] Under what circumstances can the President declare a state of emergency in Pakistan? [/INST] The President can declare a state of emergency if he is satisfied that the security of Pakistan, or any part thereof, is threatened by war, external aggression, or internal disturbance beyond the power of a Provincial Government to control. </s>",eng,501
<s>[INST] صدر پاکستان میں ہنگامی حالت کا اعلان کن حالات میں کر سکتا ہے؟ [/INST] صدر ہنگامی حالت کا اعلان کر سکتا ہے اگر وہ مطمئن ہو کہ پاکستان، یا اس کے کسی حصے کی سلامتی کو جنگ، بیرونی جارحیت، یا داخلی خلفشار کی بنا پر ایسا خطرہ لاحق ہے جس پر قابو پانا کسی صوبائی حکومت کے اختیار سے باہر ہے۔ </s>,urdu,501
"<s>[INST] How long can an Additional Judge be appointed for? [/INST] An Additional Judge can be appointed for a period determined by the President, not exceeding the period prescribed by law. </s>",eng,392
<s>[INST] اضافی جج کتنی مدت کے لیے مقرر کیا جا سکتا ہے؟ [/INST] اضافی جج کو صدر کی طرف سے متعین کردہ مدت کے لیے مقرر کیا جا سکتا ہے، جو قانون کی رو سے مقرر کردہ مدت سے تجاوز نہ کرے۔ </s>,urdu,392
"<s>[INST] Can citizens of Pakistan form associations or unions? [/INST] Yes, every citizen has the right to form associations or unions, subject to reasonable restrictions imposed by law in the interest of sovereignty or integrity of Pakistan, public order, or morality. </s>",eng,30
<s>[INST] کیا پاکستان کے شہری انجمنیں یا یونینیں بنا سکتے ہیں؟ [/INST] جی ہاں، ہر شہری کو انجمنیں یا یونینیں بنانے کا حق حاصل ہوگا، پاکستان کی حاکمیت اعلیٰ یا سالمیت، امن عامہ یا اخلاق کے مفاد میں قانون کے ذریعے عائد کردہ معقول پابندیوں کے تابع۔ </s>,urdu,30
